@id,Language Dependency
1,Not Dependent
2,Somewhat
3,Not Dependent
4,Not Dependent
5,Not Dependent
6,Somewhat
7,Not Dependent
8,Not Dependent
9,Not Dependent
10,Not Dependent
11,Not Dependent
12,Not Dependent
13,Somewhat
14,Not Dependent
15,Moderately
16,Not Dependent
17,Not Dependent
18,Moderately
19,Somewhat
20,Not Dependent
21,Moderately
22,Moderately
23,Moderately
24,Moderately
25,Extensively
26,Extensively
27,Somewhat
28,Extensively
29,Not Dependent
30,Not Dependent
31,Moderately
32,Not Dependent
34,Extensively
36,Extensively
37,Not Dependent
38,Not Dependent
39,Not Dependent
40,Somewhat
41,Not Dependent
42,Not Dependent
43,Not Dependent
44,Not Dependent
45,Not Dependent
46,Not Dependent
47,Not Dependent
48,Not Dependent
49,Not Dependent
50,Not Dependent
51,Not Dependent
52,Moderately
53,Not Dependent
54,Not Dependent
55,Extensively
57,Somewhat
58,Moderately
59,Not Dependent
60,Somewhat
61,Not Dependent
62,Not Dependent
63,Moderately
64,Somewhat
65,Not Dependent
66,Somewhat
67,Not Dependent
68,Extensively
69,Not Dependent
70,Not Dependent
71,Somewhat
72,Not Dependent
73,Not Dependent
74,Extensively
75,Somewhat
76,Not Dependent
77,Not Dependent
78,Moderately
79,Moderately
82,Moderately
83,Not Dependent
84,Not Dependent
85,Not Dependent
87,Not Dependent
88,Somewhat
89,Extensively
90,Moderately
91,Extensively
93,Moderately
94,Not Dependent
95,Not Dependent
96,Not Dependent
97,Somewhat
98,Somewhat
99,Somewhat
101,Not Dependent
102,Not Dependent
103,Not Dependent
104,Not Dependent
105,Somewhat
106,Moderately
107,Not Dependent
108,Not Dependent
109,Not Dependent
110,Moderately
111,Not Dependent
112,Not Dependent
113,Not Dependent
114,Not Dependent
115,Not Dependent
116,Moderately
117,Not Dependent
118,Not Dependent
119,Not Dependent
120,Somewhat
121,Moderately
122,Not Dependent
123,Not Dependent
124,Moderately
125,Not Dependent
126,Somewhat
127,Extensively
128,Not Dependent
130,Somewhat
132,Somewhat
133,Not Dependent
134,Not Dependent
135,Not Dependent
136,Not Dependent
137,Not Dependent
139,Somewhat
140,Not Dependent
141,Not Dependent
142,Not Dependent
143,Not Dependent
144,Not Dependent
145,Not Dependent
146,Not Dependent
147,Somewhat
148,Moderately
150,Not Dependent
151,Not Dependent
152,Not Dependent
153,Not Dependent
154,Moderately
155,Somewhat
156,Moderately
157,Not Dependent
162,Somewhat
163,Fully
164,Somewhat
165,Not Dependent
166,Not Dependent
167,Not Dependent
168,Somewhat
169,Not Dependent
170,Somewhat
171,Not Dependent
172,Not Dependent
173,Not Dependent
174,Not Dependent
175,Not Dependent
176,Moderately
178,Not Dependent
179,Not Dependent
180,Not Dependent
181,Not Dependent
182,Not Dependent
183,Not Dependent
185,Not Dependent
186,Not Dependent
188,Not Dependent
189,Somewhat
190,Not Dependent
192,Not Dependent
193,Not Dependent
194,Somewhat
195,Somewhat
196,Somewhat
197,Not Dependent
198,Not Dependent
199,Not Dependent
200,Not Dependent
201,Not Dependent
202,Not Dependent
203,Not Dependent
204,Not Dependent
206,Not Dependent
207,Not Dependent
208,Not Dependent
210,Not Dependent
211,Fully
214,Not Dependent
215,Not Dependent
216,Not Dependent
217,Not Dependent
218,Not Dependent
219,Not Dependent
220,Not Dependent
221,Somewhat
222,Not Dependent
223,Somewhat
224,Moderately
225,Not Dependent
226,Not Dependent
228,Somewhat
229,Not Dependent
230,Somewhat
231,Not Dependent
232,Not Dependent
234,Extensively
235,Moderately
237,Moderately
239,Moderately
240,Moderately
241,Extensively
242,Extensively
243,Extensively
244,Not Dependent
246,Not Dependent
247,Not Dependent
248,Extensively
249,Not Dependent
250,Not Dependent
252,Moderately
254,Extensively
255,Moderately
256,Not Dependent
257,Somewhat
258,Extensively
259,Moderately
260,Somewhat
261,Not Dependent
263,Not Dependent
264,Somewhat
265,Not Dependent
267,Not Dependent
268,Not Dependent
270,Extensively
271,Not Dependent
272,Not Dependent
273,Not Dependent
274,Moderately
275,Not Dependent
276,Moderately
277,Not Dependent
278,Extensively
279,Not Dependent
280,Not Dependent
281,Moderately
282,Moderately
283,Moderately
284,Extensively
285,Extensively
286,Not Dependent
287,Not Dependent
288,Not Dependent
289,Moderately
290,Not Dependent
291,Fully
292,Not Dependent
293,Not Dependent
294,Moderately
295,Not Dependent
296,Not Dependent
297,Moderately
298,Not Dependent
299,Not Dependent
300,Not Dependent
301,Not Dependent
302,Not Dependent
303,Somewhat
304,Not Dependent
305,Not Dependent
307,Not Dependent
308,Not Dependent
309,Not Dependent
310,Moderately
311,Somewhat
312,Extensively
313,Not Dependent
314,Not Dependent
315,Not Dependent
316,Not Dependent
317,Moderately
318,Not Dependent
319,Not Dependent
320,Fully
321,Not Dependent
322,Not Dependent
323,Moderately
324,Not Dependent
327,Not Dependent
328,Extensively
329,Somewhat
330,Somewhat
332,Not Dependent
333,Not Dependent
334,Moderately
335,Not Dependent
336,Not Dependent
337,Not Dependent
338,Not Dependent
339,Extensively
340,Not Dependent
342,Not Dependent
343,Not Dependent
344,Not Dependent
345,Not Dependent
347,Not Dependent
348,Moderately
349,Not Dependent
350,Not Dependent
352,Not Dependent
353,Not Dependent
354,Not Dependent
355,Not Dependent
356,Not Dependent
357,Not Dependent
